Time,TargetX,TargetY,TargetZ,InterceptorX,InterceptorY,InterceptorZ,IsHit
0.1,999.95,0.01,0.03,8.04973,-495.975,0.000241504,0
0.2,999.85,0.03,0.09,16.0992,-491.949,0.000969989,0
0.3,999.7,0.06,0.18,24.1484,-487.923,0.00243506,0
0.4,999.5,0.1,0.3,32.1971,-483.896,0.00489059,0
0.5,999.25,0.15,0.45,40.2452,-479.867,0.00859493,0
0.6,998.95,0.21,0.63,48.2926,-475.838,0.013811,0
0.7,998.6,0.28,0.84,56.3392,-471.806,0.0208067,0
0.8,998.2,0.36,1.08,64.3848,-467.773,0.0298546,0
0.9,997.75,0.45,1.35,72.4293,-463.737,0.0412327,0
1,997.25,0.55,1.65,80.4726,-459.699,0.0552243,0
1.1,996.7,0.66,1.98,88.5146,-455.659,0.0721185,0
1.2,996.1,0.78,2.34,96.555,-451.615,0.09221,0
1.3,995.45,0.91,2.73,104.594,-447.568,0.1158,0
1.4,994.75,1.05,3.15,112.631,-443.518,0.143195,0
1.5,994,1.2,3.6,120.666,-439.463,0.174709,0
1.6,993.2,1.36,4.08,128.699,-435.405,0.210663,0
1.7,992.35,1.53,4.59,136.729,-431.342,0.251384,0
1.8,991.45,1.71,5.13,144.758,-427.274,0.297208,0
1.9,990.5,1.9,5.7,152.783,-423.202,0.348477,0
2,989.5,2.1,6.3,160.806,-419.124,0.405544,0
2.1,988.45,2.31,6.93,168.826,-415.04,0.468766,0
2.2,987.35,2.53,7.59,176.843,-410.95,0.538513,0
2.3,986.2,2.76,8.28,184.856,-406.854,0.615162,0
2.4,985,3,9,192.866,-402.751,0.699099,0
2.5,983.75,3.25,9.75,200.872,-398.641,0.790723,0
2.6,982.45,3.51,10.53,208.875,-394.524,0.890439,0
2.7,981.1,3.78,11.34,216.873,-390.398,0.998668,0
2.8,979.7,4.06,12.18,224.867,-386.265,1.11584,0
2.9,978.25,4.35,13.05,232.856,-382.123,1.24239,0
3,976.75,4.65,13.95,240.84,-377.971,1.37878,0
3.1,975.25,4.95,14.85,248.819,-373.811,1.52515,0
3.2,973.75,5.25,15.75,256.794,-369.641,1.68162,0
3.3,972.25,5.55,16.65,264.763,-365.462,1.84835,0
3.4,970.75,5.85,17.55,272.727,-361.274,2.02547,0
3.5,969.25,6.15,18.45,280.685,-357.075,2.21314,0
3.6,967.75,6.45,19.35,288.638,-352.867,2.41151,0
3.7,966.25,6.75,20.25,296.586,-348.649,2.62074,0
3.8,964.75,7.05,21.15,304.528,-344.421,2.84098,0
3.9,963.25,7.35,22.05,312.464,-340.183,3.07241,0
4,961.75,7.65,22.95,320.395,-335.935,3.3152,0
4.1,960.25,7.95,23.85,328.319,-331.676,3.56952,0
4.2,958.75,8.25,24.75,336.238,-327.406,3.83555,0
4.3,957.25,8.55,25.65,344.15,-323.126,4.11348,0
4.4,955.75,8.85,26.55,352.056,-318.835,4.4035,0
4.5,954.25,9.15,27.45,359.955,-314.533,4.70581,0
4.6,952.75,9.45,28.35,367.847,-310.219,5.02062,0
4.7,951.25,9.75,29.25,375.733,-305.894,5.34813,0
4.8,949.75,10.05,30.15,383.612,-301.557,5.68856,0
4.9,948.25,10.35,31.05,391.484,-297.209,6.04213,0
5,946.75,10.65,31.95,399.349,-292.848,6.40908,0
5.1,945.25,10.95,32.85,407.206,-288.476,6.78965,0
5.2,943.75,11.25,33.75,415.056,-284.091,7.18408,0
5.3,942.25,11.55,34.65,422.897,-279.693,7.59263,0
5.4,940.75,11.85,35.55,430.731,-275.283,8.01556,0
5.5,939.25,12.15,36.45,438.557,-270.86,8.45314,0
5.6,937.75,12.45,37.35,446.374,-266.423,8.90567,0
5.7,936.25,12.75,38.25,454.183,-261.973,9.37343,0
5.8,934.75,13.05,39.15,461.983,-257.509,9.85673,0
5.9,933.25,13.35,40.05,469.774,-253.031,10.3559,0
6,931.75,13.65,40.95,477.556,-248.539,10.8712,0
6.1,930.25,13.95,41.85,485.328,-244.032,11.4031,0
6.2,928.75,14.25,42.75,493.091,-239.511,11.9518,0
6.3,927.25,14.55,43.65,500.843,-234.974,12.5179,0
6.4,925.75,14.85,44.55,508.585,-230.422,13.1015,0
6.5,924.25,15.15,45.45,516.316,-225.855,13.7032,0
6.6,922.75,15.45,46.35,524.037,-221.271,14.3233,0
6.7,921.25,15.75,47.25,531.746,-216.671,14.9624,0
6.8,919.75,16.05,48.15,539.443,-212.054,15.6208,0
6.9,918.25,16.35,49.05,547.129,-207.42,16.299,0
7,916.75,16.65,49.95,554.802,-202.769,16.9976,0
7.1,915.25,16.95,50.85,562.462,-198.099,17.717,0
7.2,913.75,17.25,51.75,570.109,-193.411,18.4578,0
7.3,912.25,17.55,52.65,577.742,-188.705,19.2207,0
7.4,910.75,17.85,53.55,585.361,-183.979,20.0061,0
7.5,909.25,18.15,54.45,592.966,-179.233,20.8148,0
7.6,907.75,18.45,55.35,600.555,-174.467,21.6474,0
7.7,906.25,18.75,56.25,608.128,-169.681,22.5046,0
7.79999,904.75,19.05,57.15,615.685,-164.873,23.3872,0
7.89999,903.25,19.35,58.05,623.224,-160.043,24.296,0
7.99999,901.75,19.65,58.95,630.746,-155.19,25.2319,0
8.09999,900.25,19.95,59.85,638.249,-150.314,26.1957,0
8.2,898.75,20.25,60.75,645.732,-145.414,27.1883,0
8.3,897.25,20.55,61.65,653.196,-140.489,28.2109,0
8.4,895.75,20.85,62.55,660.638,-135.539,29.2645,0
8.5,894.25,21.15,63.4501,668.058,-130.562,30.3503,0
8.6,892.75,21.45,64.3501,675.454,-125.559,31.4695,0
8.7,891.25,21.75,65.2501,682.826,-120.526,32.6235,0
8.8,889.75,22.05,66.1501,690.172,-115.465,33.8137,0
8.9,888.25,22.35,67.0501,697.491,-110.373,35.0418,0
9,886.75,22.65,67.9501,704.781,-105.249,36.3093,0
9.1,885.25,22.95,68.8501,712.04,-100.092,37.6182,0
9.2,883.75,23.25,69.7501,719.266,-94.9013,38.9705,0
9.3,882.25,23.55,70.6501,726.458,-89.6743,40.3685,0
9.4,880.75,23.85,71.5501,733.613,-84.4098,41.8145,0
9.5,879.25,24.15,72.4501,740.729,-79.1059,43.3112,0
9.6,877.75,24.45,73.3501,747.802,-73.7606,44.8618,0
9.7,876.25,24.75,74.2501,754.828,-68.3717,46.4694,0
9.8,874.75,25.05,75.1501,761.805,-62.9366,48.138,0
